"Nuvarande Postnr","Nuv Pnr Framtid","Nuvarande Postort","Nytt Postnr","Postnr Nytt/Bef","Ny Postort","Postort Ny/Bef","Postnr Typ","Antal adresser"
14132,BEHÅLLS,HUDDINGE,14144,BEF,HUDDINGE,BEF,STAD,2
14132,BEHÅLLS,HUDDINGE,14169,BEF,HUDDINGE,BEF,STAD,177
14137,BEHÅLLS,HUDDINGE,14136,NYTT,HUDDINGE,BEF,STAD,808
14169,BEHÅLLS,HUDDINGE,14168,BEF,HUDDINGE,BEF,STAD,80
14941,BEHÅLLS,NYNÄSHAMN,14942,NYTT,NYNÄSHAMN,BEF,STAD,55
21228,BEHÅLLS,MALMÖ,21229,BEF,MALMÖ,BEF,STAD,80
22226,BEHÅLLS,LUND,22276,NYTT,LUND,BEF,STAD,31
22228,BEHÅLLS,LUND,22226,BEF,LUND,BEF,STAD,7
22228,BEHÅLLS,LUND,22275,NYTT,LUND,BEF,STAD,61
22229,BEHÅLLS,LUND,22230,NYTT,LUND,BEF,STAD,127
22642,BEHÅLLS,LUND,22641,NYTT,LUND,BEF,STAD,101
22647,BEHÅLLS,LUND,22658,NYTT,LUND,BEF,STAD,69
22652,BEHÅLLS,LUND,22638,NYTT,LUND,BEF,STAD,216
22655,BEHÅLLS,LUND,22656,NYTT,LUND,BEF,STAD,432
22730,BEHÅLLS,LUND,22728,NYTT,LUND,BEF,STAD,23
22731,BEHÅLLS,LUND,22728,NYTT,LUND,BEF,STAD,75
22731,BEHÅLLS,LUND,22729,NYTT,LUND,BEF,STAD,99
24533,BEHÅLLS,STAFFANSTORP,24530,NYTT,STAFFANSTORP,BEF,STAD,28
24543,BEHÅLLS,STAFFANSTORP,24546,NYTT,STAFFANSTORP,BEF,STAD,156
26531,BEHÅLLS,ÅSTORP,26540,BEF,ÅSTORP,BEF,STAD,392
27356,STÄNGS,BRÖSARP,27357,BEF,BRÖSARP,BEF,LAND,158
28131,BEHÅLLS,HÄSSLEHOLM,28130,NYTT,HÄSSLEHOLM,BEF,STAD,111
28138,BEHÅLLS,HÄSSLEHOLM,28130,NYTT,HÄSSLEHOLM,BEF,STAD,6
28148,BEHÅLLS,HÄSSLEHOLM,28154,NYTT,HÄSSLEHOLM,BEF,STAD,61
28148,BEHÅLLS,HÄSSLEHOLM,28155,NYTT,HÄSSLEHOLM,BEF,STAD,81
28150,BEHÅLLS,HÄSSLEHOLM,28154,NYTT,HÄSSLEHOLM,BEF,STAD,11
28942,BEHÅLLS,BROBY,28940,NYTT,BROBY,BEF,STAD,360
29131,BEHÅLLS,KRISTIANSTAD,29130,NYTT,KRISTIANSTAD,BEF,STAD,165
29132,BEHÅLLS,KRISTIANSTAD,29129,NYTT,KRISTIANSTAD,BEF,STAD,115
29133,BEHÅLLS,KRISTIANSTAD,29030,NYTT,KRISTIANSTAD,BEF,STAD,34
29133,BEHÅLLS,KRISTIANSTAD,29031,NYTT,KRISTIANSTAD,BEF,STAD,9
29133,BEHÅLLS,KRISTIANSTAD,29032,NYTT,KRISTIANSTAD,BEF,STAD,61
29133,BEHÅLLS,KRISTIANSTAD,29033,NYTT,KRISTIANSTAD,BEF,STAD,67
29134,BEHÅLLS,KRISTIANSTAD,29030,NYTT,KRISTIANSTAD,BEF,STAD,36
29134,BEHÅLLS,KRISTIANSTAD,29031,NYTT,KRISTIANSTAD,BEF,STAD,64
29134,BEHÅLLS,KRISTIANSTAD,29032,NYTT,KRISTIANSTAD,BEF,STAD,7
29153,BEHÅLLS,KRISTIANSTAD,29032,NYTT,KRISTIANSTAD,BEF,STAD,5
29153,BEHÅLLS,KRISTIANSTAD,29050,NYTT,KRISTIANSTAD,BEF,STAD,67
29153,BEHÅLLS,KRISTIANSTAD,29051,NYTT,KRISTIANSTAD,BEF,STAD,14
